Episode Number,Episode Name,Originally Aired
1944 x 17,Hare Force,1944-07-22
1944 x 18,From Hand to Mouse,1944-08-05
1944 x 19,Birdy and the Beast,1944-08-19
1944 x 20,Buckaroo Bugs,1944-08-26
1944 x 21,Goldilocks and the Jivin' Bears,1944-09-02
1944 x 22,Plane Daffy,1944-09-16
1944 x 23,Lost and Foundling,1944-09-30
1944 x 24,Booby Hatched,1944-10-14
1944 x 25,The Old Grey Hare,1944-10-28
1944 x 26,The Stupid Cupid,1944-11-25
1944 x 27,Stage Door Cartoon,1944-12-30
1945 x 1,Odor-Able Kitty,1945-01-06
1945 x 2,Herr Meets Hare,1945-01-13
1945 x 3,Draftee Daffy,1945-01-27
1945 x 4,The Unruly Hare,1945-02-10
1945 x 5,Trap Happy Porky,1945-02-24
1945 x 6,Life with Feathers,1945-03-24
1945 x 7,Behind the Meat-Ball,1945-04-07
1945 x 8,Hare Trigger,1945-05-05
1945 x 9,Ain't That Ducky,1945-05-19
1945 x 10,A Gruesome Twosome,1945-06-09
1945 x 11,Tale of Two Mice,1945-06-30
1945 x 12,Wagon Heels,1945-07-28
1945 x 13,Hare Conditioned,1945-08-11
1945 x 14,Fresh Airedale,1945-08-25
1945 x 15,The Bashful Buzzard,1945-09-15
1945 x 16,Peck Up Your Troubles,1945-10-20
1945 x 17,Hare Tonic,1945-11-10
1945 x 18,Nasty Quacks,1945-12-01
1946 x 1,Book Revue,1946-01-05
1946 x 2,Baseball Bugs,1946-02-02
1946 x 3,Holiday for Shoestrings,1946-02-23
1946 x 4,Quentin Quail,1946-03-02
1946 x 5,Baby Bottleneck,1946-03-16
1946 x 6,Hare Remover,1946-03-23
1946 x 7,Daffy Doodles,1946-04-06
1946 x 8,Hollywood Canine Canteen,1946-04-20
1946 x 9,Hush My Mouse,1946-05-04
1946 x 10,Hair-Raising Hare,1946-05-25
1946 x 11,Kitty Kornered,1946-06-08
1946 x 12,Hollywood Daffy,1946-06-22
1946 x 13,Acrobatty Bunny,1946-06-29
1946 x 14,The Eager Beaver,1946-07-13
1946 x 15,The Great Piggy Bank Robbery,1946-07-20
1946 x 16,Bacall to Arms,1946-08-03
1946 x 17,Of Thee I Sting,1946-08-17
1946 x 18,Walky Talky Hawky,1946-08-31
1946 x 19,Racketeer Rabbit,1946-09-14
1946 x 20,Fair and Worm-er,1946-09-28
1946 x 21,The Big Snooze,1946-10-05
1946 x 22,The Mouse-Merized Cat,1946-10-19
1946 x 23,Mouse Menace,1946-11-02
1946 x 24,Rhapsody Rabbit,1946-11-09
1946 x 25,Roughly Squeaking,1946-11-23
1947 x 1,One Meat Brawl,1947-01-18
1947 x 2,The Goofy Gophers,1947-01-25
1947 x 3,The Gay Anties,1947-02-15
1947 x 4,Scent-imental Over You,1947-03-08
1947 x 5,A Hare Grows in Manhattan,1947-03-22
1947 x 6,Birth of a Notion,1947-04-12
1947 x 7,Tweetie Pie,1947-05-03
1947 x 8,Rabbit Transit,1947-05-10
1947 x 9,Hobo Bobo,1947-05-17
1947 x 10,Along Came Daffy,1947-06-04
1947 x 11,Inki at the Circus,1947-06-21
1947 x 12,Easter Yeggs,1947-06-28
1947 x 13,Crowing Pains,1947-07-12
1947 x 14,A Pest in the House,1947-08-02
1947 x 15,The Foxy Duckling,1947-08-23
1947 x 16,House Hunting Mice,1947-09-06
1947 x 17,Little Orphan Airedale,1947-10-04
1947 x 18,Doggone Cats,1947-10-25
1947 x 19,Slick Hare,1947-11-01
1947 x 20,Mexican Joyride,1947-11-29
1947 x 21,Catch as Cats Can,1947-12-06
1947 x 22,A Horse Fly Fleas,1947-12-13
1948 x 1,Gorilla My Dreams,1948-01-03
1948 x 2,Two Gophers from Texas,1948-01-17
1948 x 3,A Feather in His Hare,1948-02-07
1948 x 4,What Makes Daffy Duck,1948-02-14
1948 x 5,"What's Brewin', Bruin?",1948-02-28
1948 x 6,Daffy Duck Slept Here,1948-03-06
1948 x 7,A Hick a Slick and a Chick,1948-03-13
1948 x 8,Back Alley Oproar,1948-03-27
1948 x 9,I Taw a Putty Tat,1948-04-02
1948 x 10,Rabbit Punch,1948-04-10
1948 x 11,"Hop, Look and Listen",1948-04-17
1948 x 12,Nothing But the Tooth,1948-05-01
1948 x 13,Buccaneer Bunny,1948-05-08
1948 x 14,Bone Sweet Bone,1948-05-22
1948 x 15,Bugs Bunny Rides Again,1948-06-12
1948 x 16,The Rattled Rooster,1948-06-26
1948 x 17,The Up-Standing Sitter,1948-07-03
1948 x 18,The Shell Shocked Egg,1948-07-10
1948 x 19,Haredevil Hare,1948-07-24
1948 x 20,You Were Never Duckier,1948-08-07
1948 x 21,Dough Ray Me-ow,1948-08-14
1948 x 22,Hot Cross Bunny,1948-08-21
1948 x 23,The Pest That Came to Dinner,1948-09-11
1948 x 24,Hare Splitter,1948-09-25
1948 x 25,Odor of the Day,1948-10-02
1948 x 26,The Foghorn Leghorn,1948-10-09
1948 x 27,A-Lad-in His Lamp,1948-10-23
1948 x 28,Daffy Dilly,1948-10-30
1948 x 29,Kit for Cat,1948-11-06
1948 x 30,The Stupor Salesman,1948-11-20
1948 x 31,Riff Raffy Daffy,1948-11-27
1948 x 32,My Bunny Lies over the Sea,1948-12-04
1948 x 33,Scaredy Cat,1948-12-18
1949 x 1,Wise Quackers,1949-01-01
1949 x 2,Hare Do,1949-01-15
1949 x 3,Holiday for Drumsticks,1949-01-22
1949 x 4,Awful Orphan,1949-01-29
1949 x 5,Porky Chops,1949-02-12
1949 x 6,Mississippi Hare,1949-02-26
1949 x 7,Paying the Piper,1949-03-12
1949 x 8,Daffy Duck Hunt,1949-03-26
1949 x 9,Rebel Rabbit,1949-04-09
1949 x 10,Mouse Wreckers,1949-04-23
1949 x 11,High Diving Hare,1949-04-30
1949 x 12,The Bee-Deviled Bruin,1949-05-14
1949 x 13,Curtain Razor,1949-05-21
1949 x 14,Bowery Bugs,1949-06-04
1949 x 15,Mouse Mazurka,1949-06-11
1949 x 16,Long-Haired Hare,1949-06-25
1949 x 17,Henhouse Henery,1949-07-02
1949 x 18,Knights Must Fall,1949-07-16
1949 x 19,Bad Ol' Putty Tat,1949-07-23
1949 x 20,The Grey Hounded Hare,1949-08-06
1949 x 21,Often an Orphan,1949-08-13
1949 x 22,The Windblown Hare,1949-08-27
